"site","mcd","lower","higher"
"41SM56","1116.66666666667","1090.33559613298","1140.95692087383"
"41SM55","1250","1250","1250"
"41SM77","1548.75","1517.1516135957","1577.06267211859"
"41SM90","1530.625","1525.46920898815","1536.62262774654"
"41SM73","1206.25","1035.39502661749","1390.11517746414"
"41SM93","1538.5","1533.51651047792","1542.99369360372"
"41SM151","1540","1540","1540"
"41SM158","1532.5","1522.93465086065","1542.37147158833"
"41SM249","1535","1526.08567535505","1543.50616137965"
"41SM150","1346.66666666667","1254.22694650788","1421.35128478464"
"41SM355","1540","1540","1540"
"41SM2","1525","1525","1525"
"41HE114","1535.26315789474","1530.20191409753","1539.61548654694"
"41HE4","1532.5","1525.06272561345","1539.01890703961"
"41HE75","1531.66666666667","1525.99907854824","1537.87847247217"
"41HE78","1525","1525","1525"
"41HE82","1540","1540","1540"
"41AN201","1528.75","1522.39904212306","1534.94789665245"
"41CE4","1532.14285714286","1529.38723159868","1534.95679172494"
"41CE12","1589.13461538462","1566.18394075951","1610.02485044928"
"41CE14","1528.57142857143","1527.57614666133","1529.6425122308"
"41CE15","1601.66666666667","1483.16026289768","1709.90096159212"
"41CE17","1530.19230769231","1527.45752145792","1533.30386001775"
"41CE19","1076.27272727273","1054.1544340878","1097.1015955968"
"41CE23","1535","1530.43012951317","1541.30456436438"
"41CE25","1547","1522.70890668074","1567.80537903354"
"41CE421","1525","1525","1525"
"41CE6","1645.83333333333","1580.16662393271","1715.78575701967"
"41AN1","1532.75862068966","1530.00246416867","1535.64144856884"
"41AN13","1692.69230769231","1651.31553272921","1740.72528359732"
"41AN14","1527.72727272727","1524.30484271173","1530.76009235321"
"41AN16","1525","1525","1525"
"41AN18","1532.5","1521.95059179459","1544.27389800133"
"41AN184","1596.66666666667","1488.50612676294","1722.37822697855"
"41AN2","1555.625","1517.23960507747","1590.42621124906"
"41AN21","1525","1525","1525"
"41AN26","1716.11111111111","1685.68121202326","1743.61584013093"
"41AN32","1538.75","1518.55957830135","1555.28736047416"
"41AN34","1540.27777777778","1516.43247514839","1569.59927088336"
"41AN38","1528.75","1524.60197489365","1532.5408822492"
"41AN39","1529.28571428571","1523.38774782376","1535.70846208877"
"41AN44","1535.90909090909","1532.23113407701","1539.42007185991"
"41AN48","1532.5","1520.1034468208","1543.05981848533"
"41AN53","1525","1525","1525"
"41AN54","1545.71428571429","1515.04932904103","1575.3442569648"
"41AN56","1540","1540","1540"
"41AN57","1525","1525","1525"
"41AN67","1525","1525","1525"
"41AG66","1250","1250","1250"
