"site","mcd","lower","higher"
"41SM77","1548.75","1522.5572089805","1576.85945768617"
"41SM90","1530.625","1525.88154109793","1534.89970890207"
"41SM93","1538.5","1533.86537366846","1542.75962633154"
"41SM150","1346.66666666667","1235.79675516563","1465.59213372326"
"41HE114","1535.26315789474","1530.48328187979","1540.24040233073"
"41HE75","1531.66666666667","1526.19933344344","1538.52288877878"
"41CE4","1532.14285714286","1528.87776266994","1535.11033256816"
"41CE12","1589.13461538462","1571.13895792737","1610.23123438032"
"41CE14","1528.57142857143","1527.47044577381","1529.85098279762"
"41CE17","1530.19230769231","1527.2389130841","1533.04954845437"
"41CE19","985.818181818182","951.753155334102","1011.59911739317"
"41CE23","1535","1528.96260698481","1541.66239301519"
"41CE25","1547","1525.88041360474","1574.95291972859"
"41CE6","1645.83333333333","1554.69224933713","1724.61330621843"
"41AN1","1532.75862068966","1529.8893999574","1535.75715176674"
"41AN13","1692.69230769231","1650.32821538151","1747.97306666977"
"41AN14","1527.72727272727","1524.2386234128","1532.57955840538"
"41AN2","1555.625","1520.23107693353","1597.65954806647"
"41AN26","1716.11111111111","1689.4464973604","1741.44856436799"
"41AN32","1538.75","1514.37816129753","1563.12183870247"
"41AN34","1540.27777777778","1515.80793335949","1570.23373330718"
"41AN38","1528.75","1525.35248186158","1533.39751813842"
"41AN44","1535.90909090909","1532.95846391204","1539.76880881523"
"41AN54","1545.71428571429","1513.66638801933","1582.88123102828"
